Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2017-12-16,17516.81,19539.0,17190.01,19102.66,4202.628709,76293721.36508314,51777,2308.84716300,41958921.17812987,0
2017-12-17,19120.19,19798.68,18510.0,18860.02,9177.183434,175867439.47045138,84581,4197.96083500,80497172.92855518,0
2017-12-18,18860.04,19300.0,17029.98,18856.25,10624.633071,196339245.74519795,91956,4690.30214600,86666689.06405356,0
2017-12-19,18856.25,18950.0,16300.0,17295.2,13210.74822,232790625.92336664,116569,5740.50618400,101134115.92016459,0
2017-12-20,17295.2,17720.35,14777.66,16488.98,13450.496693,221193892.5022389,129762,5732.66403500,94404363.82531904,0
2017-12-21,16480.52,17309.5,14022.0,15492.64,20324.2173,320176825.29037607,117731,11672.76078900,184537677.79238920,0
2017-12-22,15514.03,15699.34,10961.0,13326.61,36076.271175,477509934.7182865,243261,17556.68244900,233435309.64831901,0
2017-12-23,13326.61,14950.0,12978.18,13300.0,13141.538875,184759685.33206666,135005,6547.66732600,92098774.46087750,0
2017-12-24,13300.0,13819.99,11640.0,13500.0,28557.534988,365709589.60302895,173557,15365.11354500,196993097.07332075,0
2017-12-25,13500.0,14300.0,12708.0,13699.34,15748.207607,213139657.62891454,116416,8834.65093800,119703848.85962639,0
2017-12-26,13699.34,16050.0,13533.0,15689.01,15034.668104,224843731.89656886,133133,8436.17129800,125842113.78661472,0
2017-12-27,15709.98,16498.05,14200.15,15459.99,14959.864723,231229932.48204058,142202,7843.41976100,121346099.97221792,0
2017-12-28,15459.97,15539.99,13150.0,14182.11,21717.858014,303401227.98652,178032,11431.78769100,159795892.05003202,0
2017-12-29,14199.14,14981.0,13850.0,14378.9,18072.008116,260911629.21807674,142100,10502.69575000,151673949.96207923,0
2017-12-30,14378.99,14398.85,11750.0,12440.01,19221.158039,247803953.75248587,190204,9530.51786000,123372468.27892077,0
2017-12-31,12345.1,14050.11,12149.98,13716.36,11768.989718,155283285.36704132,138893,6085.52327700,80277167.62529440,0
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844,114799747.44197057,105595,3961.93894600,52809747.44038045,0
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,279717107.4337192,177728,11346.32673900,158080088.68331682,0
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,236116868.3361901,162787,8994.95356600,133587333.24534808,0
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,312781583.79830784,170310,12680.81295100,186116793.01158931,0
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,369321956.4868375,192969,13346.62229300,211829900.67898224,0
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,309216920.98641044,158242,11007.16405600,183417769.06237719,0
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,206194706.37068352,120269,6779.32050800,112151163.12743520,0
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,396569997.15746266,208642,13756.84438900,206049582.13668824,0
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,210630187.45766863,156656,6841.23328700,100698572.90002140,0
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,244011366.763028,161476,8529.55467500,119570139.80645349,0
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751,446587594.6937379,239416,16422.01998000,218762237.37910992,0
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.162137,222516076.27145907,134452,8117.31207500,110040020.18147800,0
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.508528,173086488.54788405,123639,5574.17840800,78958098.94638569,0
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.894329,226525305.1293811,152364,8288.38291100,110381556.67259862,0
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,200614554.538343,145362,7431.06327200,101748315.63707082,0
2018-01-16,13500.0,13542.93,9035.0,10900.0,63401.169175,722150828.1494025,418243,30353.40171700,346777069.93374636,0
2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.796646,744154180.1312059,517293,35412.79813700,365047291.43037911,0
2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.434937,541289614.0584046,393112,23814.38284500,266091805.66522687,0
2018-01-19,10960.0,11795.0,10360.0,11474.98,34129.375421,382773499.2265792,273271,16871.41635500,189259676.89222242,0
